input,output
"Translate English to Bangla: unfortunately, it rained yesterday.",দুর্ভাগ্যবশত গতকাল বৃষ্টি হয়েছিলো।
Translate Bangla to English আপনি কি ডাক্তার?,are you a doctor?
Translate Sylheti to Bangla: আরিজার,হারিয়ে যাচ্ছে
Translate Bangla to English ও আমার থেকে ছোট।,he's younger than me.
Translate Sylheti to Bangla: কটকটা,গাঢ়
Translate Sylheti to Bangla: গাই,গরু( স্ত্রী)
Translate English to Bangla: what do you do?,তুমি কি কর?
Translate Bangla to English আপনি কি পাগল হয়ে গেছেন?,have you gone mad?
Translate Bangla to English আশা করছি সেটা হবে না।,i hope that won't happen.
Translate Bangla to Sylheti: এখানে এলাম তোর মুখাবয়ব দেখে আশ্চর্য হলাম।,এইখানে এলাম তুরে চেহারা দেখি আশ্চর্য হইলাম
Translate Sylheti to Bangla: আয় বায়,অন্য দিকে
Translate Sylheti to Bangla: কাচাতেল,সরিষার তেল
Translate Sylheti to Bangla: আড়া,জঙ্গল
Translate English to Bangla: kyiv is the capital of ukraine.,ইউক্রেনের রাজধানী হলো কিয়েভ।
Translate English to Bangla: nobody but tom left.,টম ছাড়া আর কেউ চলে যায়নি।
Translate Bangla to English আমার মা খুব ভালো ইংরেজি বলতে পারেন না।,my mom doesn't speak english very well.
Translate English to Bangla: she is younger than me.,ও আমার থেকে ছোট।
Translate Sylheti to Bangla: মুড়,গভীরতা
Translate Sylheti to Bangla: গিয়া,গিয়ে
Translate English to Bangla: you ought to ask him for advice.,আপনার ওনাকে পরামর্শের জন্য জিজ্ঞাসা করা উচিৎ।
Translate Sylheti to Bangla: চন চন করা,টন টন করা
Translate English to Bangla: we tried.,আমরা চেষ্টা করেছিলাম।
Translate English to Bangla: she acknowledged having made a mistake.,উনি যে ভুল করেছিলেন সেটা স্বীকার করলেন।
Translate English to Bangla: tom owes mary thirty dollars.,মেরির কাছে টমের ত্রিশ ডলার পায়।
Translate Sylheti to Bangla: কেওয়ারি বেওয়ারি,অসংখ্য
Translate Bangla to Sylheti: অপরিপক্ব,কয়রা
Translate Bangla to Sylheti: ছোটখাটো,কুটিমুটি
Translate Sylheti to Bangla: উপুর যুপুর,কানায় কানায়
Translate Sylheti to Bangla: গরিবগুরবা,দরিদ্র্র
Translate English to Bangla: come back.,ফিরে আসেন।
Translate Bangla to English ফিরে আসিস।,come back.
"Translate Bangla to English টম খুব খাটে, কিন্তু মেরির মতো নয়।","tom works very hard, but not as hard as mary."
Translate Bangla to English সে এখন টিভি দেখছে।,he is watching tv now.
Translate Sylheti to Bangla: কশবি,বেশ্যা
Translate Bangla to English টম এখন লাঞ্চ খেতে চায়।,tom wants to eat lunch now.
Translate Bangla to English সরিস না!,don't move!
Translate Bangla to English আমি ওকে ছাড়া বাঁচতে শিখেছি।,i learned to live without her.
Translate Sylheti to Bangla: আনবোলা,বোবা
Translate English to Bangla: i'm going to go.,আমি এবার বেরোবো।
Translate Sylheti to Bangla: টেংগর,উঁচুনিচু
Translate Bangla to English আবার এসো।,come again.
Translate Sylheti to Bangla: নাই-নাকিছতোর,দীনহীনের
Translate Bangla to English টম একটা বড় ঝুঁকি নিচ্ছে।,tom is taking a big chance.
Translate English to Bangla: tom started the fight.,টম লড়াইটা শুরু করেছে।
Translate Sylheti to Bangla: তরাস,ভয়
Translate Bangla to English টম কাঁদছিলো।,tom was crying.
Translate English to Bangla: italy is a very beautiful country.,ইতালি খুব সুন্দর দেশ।
Translate Bangla to Sylheti: কোন কিছুতে,কুনু এমড়ায়
Translate Bangla to Sylheti: দোকান,দুকান
Translate Sylheti to Bangla: কুজা,শিখর
Translate Sylheti to Bangla: আলিপতা,বাধা
Translate English to Bangla: where will you be working next year?,আপনি আগামী বছর কোথায় কাজ করবেন?
Translate Bangla to English আমি জানতে চাই কে আমাদের সাথে আসছে।,i want to know who's coming with us.
Translate Sylheti to Bangla: তারবায়দি,তারদিকে
Translate Sylheti to Bangla: উচাইট,অস্বস্তি
Translate Bangla to English তাঁর তিনটে মেয়ে আছে।,he has three daughters.
Translate Bangla to Sylheti: এইটা,ইতা
Translate Bangla to English তিনি একটি মার্কিন কোম্পানির হয়ে কাজ করেন।,he works for an american company.
Translate Sylheti to Bangla: দুছ,বন্ধু
Translate Bangla to English শান্ত হও!,cool off!
Translate English to Bangla: how many guards were there?,সেখানে কতজন প্রহরী ছিল?
Translate Sylheti to Bangla: খইয়াছুলা,গালমন্দ করা
Translate English to Bangla: i'm breast-feeding my baby.,আমি আমার বাচ্চাকে বুকের দুধ পান করাচ্ছি।
Translate Bangla to English টমের জেতা উচিত ছিলো।,tom should've won.
Translate Sylheti to Bangla: হ লাখান৷ এরে,থামো এইযে
"Translate Bangla to Sylheti: বোকা, অবোধ",আউয়া যাওয়া
Translate Sylheti to Bangla: দানাই,আক্কেল
Translate Bangla to Sylheti: এইটুকু,উতুতকুনি
Translate Bangla to English আমি ওনাদের আর একটা টিকিট পাঠাতে বলেছি।,i told them to send me another ticket.
Translate English to Bangla: tom is a doctor.,টম একজন চিকিৎসক।
Translate Sylheti to Bangla: জেলান,যে রকম
Translate Bangla to English আমি জানি তুমি এটাকে অনেক ব্যয়বহুল মনে করো।,i know you think this is too expensive.
Translate Sylheti to Bangla: দেরাজ,আলমারি
Translate English to Bangla: i think i'll be able to help you.,আমি মনে করি আমি আপনাকে সাহায্য করতে পারব।
Translate Sylheti to Bangla: আছমান,আসমান
Translate English to Bangla: my foot hurts.,আমার পা ব্যাথা করছে।
Translate Sylheti to Bangla: আর ফারতামনা ঠেলাইতে ঠেলাইতে আমার গাও চইলা আইছে মিয়া,আর পারবোনা ঠেলতে ঠেলতে আমার গ্রাম ই চলে এসেছে মিয়া
Translate English to Bangla: everyone went to sleep.,সবাই ঘুমাতে চলে গেলো।
Translate Bangla to Sylheti: সে (মহিলা),তাই
Translate Sylheti to Bangla: ওউনু,ঐ যে
Translate Sylheti to Bangla: অম্মুখা,এদিকে
Translate English to Bangla: mary was wearing a bikini.,মেরি একটি বিকিনি পরিহিত অবস্থায় ছিল।
Translate Bangla to English সেই চার্চটার বয়স কত?,how old is that church?
Translate English to Bangla: i go shopping every morning.,আমি প্রত্যেকদিন সকালে দোকানে যাই।
Translate Bangla to Sylheti: উলুধ্বনি দেওয়া,জোগাড় দেয়া
Translate Bangla to English আমাকে কতবার ক্ষমা চাইতে হবে?,how many times do i have to apologize?
Translate Sylheti to Bangla: ছুফা,রাগ
Translate Bangla to English আবর্জনা সংগ্রহকারী সপ্তাহে তিনবার আসে।,the garbage collector comes three times a week.
Translate Bangla to English আমি খুব কমই সংবাদপত্র পড়ি।,i hardly ever read a newspaper.
Translate Bangla to Sylheti: প্রাণহরণ,জাকান্দানি
Translate Bangla to Sylheti: আচড়ানো,আংসানো
Translate Sylheti to Bangla: আওয়ালে,প্রথমে
Translate Bangla to English এবার যেতে হবে।,it's time to go.
Translate Bangla to English টম চেষ্টা করে।,tom tries.
Translate Sylheti to Bangla: খিত্তা,জমির পরিমাণ
Translate English to Bangla: it's been snowing all night.,সারা রাত ধরে বরফ পরছে।
Translate English to Bangla: you need friends.,তোর বন্ধু লাগবে।
Translate Bangla to Sylheti: বারংবার,উপরাউপরি
Translate Bangla to Sylheti: কৃপণ,কাউকরা হাগা
Translate Bangla to English সত্যি?,really?
"Translate Bangla to Sylheti: এই কারণেই আমি ঘরে থাকি, আর","এর লাগি আমি ঘরো থাকি, আর"
Translate Bangla to English আমি আপনাকে এটি বিনামূল্যে দিচ্ছি।,i'm giving it to you for free.
Translate English to Bangla: it makes no difference to me whether you get married or not.,আপনি বিয়ে করেছেন কি করছেন না তাতে আমার কিছু যায় আসে না।
Translate Bangla to English আমি প্রায় নিশ্চিত।,i'm almost sure.
Translate Sylheti to Bangla: নাইরল,নারিকেল
Translate Bangla to Sylheti: তোমার জন্য কিছু তো এনেছি,তোমার লাইগা কিছু তো আইনছি
Translate Bangla to Sylheti: কোনাকুনি,কাওরা
Translate Bangla to Sylheti: সবাইকে দেখে ভালো চোখে,হখলরে দেখে ভালা চউখে
Translate Bangla to Sylheti: বিড়বিড় করা,আমুয়ানি
Translate English to Bangla: his story may not be true.,তার গল্প সত্য নাও হতে পারে।
Translate Bangla to English টমের কি আমার সাহায্য দরকার?,does tom need my help?
Translate English to Bangla: mental health is as important as physical health.,শারীরিক স্বাস্থ্যের মতো মানসিক স্বাস্থ্যও গুরুত্বপূর্ণ।
Translate Bangla to Sylheti: টুনটুনি পাখি,টেকি
Translate Bangla to Sylheti: বোকা,আরুয়া
Translate Bangla to Sylheti: জীবিত অবস্থায়,জিয়ন্তে
Translate Bangla to Sylheti: হাটু গেঁড়ে,জানুপাড়ি
Translate English to Bangla: it's a robot.,এটা একটা রোবট।
Translate Bangla to Sylheti: আফসোস,মনোর অবাছ
Translate Sylheti to Bangla: তুকাইন,খোঁজ করা
Translate Bangla to English সকালে সূর্য পূর্ব দিকে ওঠে এবং সন্ধ্যায় পশ্চিমে অস্ত যায়।,the sun rises in the east in the morning and sets in the west in the evening.
Translate English to Bangla: she ate the apple.,আপেলটি সে খেয়েছে।
Translate Sylheti to Bangla: কাগা,কাক
Translate Bangla to English পাখি গান গায়।,birds sing.
Translate English to Bangla: tom and i don't know anything about australia.,টম এবং আমি অস্ট্রেলিয়া সম্পর্কে কিছুই জানি না।
Translate Bangla to Sylheti: চোখের পর্দা,আনদুয়ি
Translate Bangla to English আমি এইটাই চাই।,this is what i want.
Translate Sylheti to Bangla: জজবা,জৌলুস
Translate Sylheti to Bangla: কব,কাবাব
Translate Bangla to English শান্ত হোন।,calm down.
Translate English to Bangla: i yelled for help.,আমি সাহায্যের জন্য চিৎকার করেছিলাম।
Translate English to Bangla: tom saw him.,টম তাকে দেখলো।
Translate English to Bangla: it may snow.,বরফ পরতে পারে।
Translate Bangla to English বিশ্বের সবচেয়ে জনবহুল মহাদেশ কোনটি?,which is the most populated continent in the world?
Translate Bangla to Sylheti: আপনার সঙ্গে মজা করছি,ফান করছি আফনার লগে
Translate Sylheti to Bangla: না না আর কিয়ের লন্ডন,না না আর কেন লন্ডন
Translate Sylheti to Bangla: দমলও,থাম
Translate Bangla to Sylheti: দুপুর,দুইপরি
Translate Bangla to English সাঁতার কাটতে পার।,you may swim.
Translate Sylheti to Bangla: জাতিয়ালা কম,বংশ গৌরব কম
Translate Bangla to English আমি তোমাকে বিশ্বাস করি।,i trust you.
Translate English to Bangla: tom will speak.,টম কথা বলবে।
Translate English to Bangla: tom stopped screaming.,টম চেঁচানো বন্ধ করলো।
Translate Bangla to English আমি আমার বাসায় একা বসে আছি।,i'm sitting alone in my house.
Translate English to Bangla: i know that we still love each other.,আমি জানি আমরা একে অপরকে এখনো ভালোবাসি।
Translate Bangla to English তিনি ফল ছাড়া আর কিছুই খান না।,he eats nothing other than fruit.
Translate English to Bangla: i promise i won't cry.,কথা দিচ্ছি আমি কাঁদবো না।
Translate Sylheti to Bangla: আজার,হাজার
Translate Bangla to Sylheti: বুদ্ধি,আইব বাইব
Translate Sylheti to Bangla: নছক,শিক্ষা
Translate Sylheti to Bangla: চাইরোমুখা,চারদিকে
Translate Sylheti to Bangla: কাকরোল,সবজি
Translate Bangla to English কোন টুপিটা তোমার?,which cap is yours?
Translate English to Bangla: follow tom.,টমের পেছন পেছন যাও।
Translate Bangla to Sylheti: ধান ঝাড়ার কুলা,উতোই
Translate English to Bangla: i was very scared.,আমি খুব ভয়ে পেয়েগেছিলাম।
Translate Sylheti to Bangla: তিনোতরায়,তাড়াতাড়ি
Translate Sylheti to Bangla: আগদ সাগদ,শেষ মীমাংসা
Translate English to Bangla: wake up.,ঘুম থেকে ওঠ।
Translate Sylheti to Bangla: দুয়ারা,পুনরায়
Translate Bangla to English কিছুই কাজ করে।,nothing really worked.
Translate Bangla to Sylheti: বাদ্যকর,নাগারছি
Translate English to Bangla: anybody can make a mistake.,যে কেউ ভুল করতে পারে।
Translate Sylheti to Bangla: আইনছি,এনেছি
Translate Bangla to English প্রায় সবাই এসেছিল।,almost everyone came.
Translate Bangla to Sylheti: কচুরিপানা,ফেনাফাতা
Translate English to Bangla: i love to travel.,আমি ঘুরতে ভালোবাসি।
Translate Sylheti to Bangla: নকর,চাকর
Translate Bangla to English বস্টন একটা বড়ো শহর।,boston is a big city.
Translate Sylheti to Bangla: গাড়ল,গাড়োয়ান
Translate Bangla to English সিমেন্টটা তখনও শুকনো ছিলো।,the cement was still wet.
Translate Bangla to Sylheti: উপরযুপরি চিৎকার,উবাচিক
Translate Bangla to Sylheti: আমি আপনাদের সিলেট নিয়ে যাব,আমি আফনারারে সিলেট লইয়া জাইমু
Translate English to Bangla: what's the meaning of this word?,এই শব্দটার অর্থ কী?
Translate Bangla to Sylheti: শব্দ,উকাল
Translate Sylheti to Bangla: আন্দেশা,দুশ্চিন্তা
Translate Bangla to Sylheti: লম্বগিনি গাড়ি নাও,লম্বগিনি গাড়ি লও
Translate Bangla to English বস!,sit down!
Translate English to Bangla: listen carefully.,মন দিয়ে শুনুন।
Translate English to Bangla: she became a doctor.,সে ডাক্তার হয়েছে।
Translate English to Bangla: how old were your kids when you moved to australia?,আপনি অস্ট্রেলিয়ায় চলে যাওয়ার সময় আপনার সন্তানদের বয়স কত ছিল?
Translate Bangla to English আমাদের কাছে সেই তথ্য নেই।,we don't have that information.
Translate Bangla to English আমি আবার বিয়ে করেছি।,i've remarried.
Translate Bangla to English এখানে কথা বলা যাক।,let's talk here.
Translate English to Bangla: we lost.,আমরা হেরে গেছি।
"Translate Bangla to Sylheti: ঐ জিনিসটি, এই বিষয়ে",অউখানতা
"Translate English to Bangla: tom is still at home, isn't he?","টম এখনও বাড়িতেই আছে, তাই না?"
Translate Bangla to English এই শব্দটির উচ্চারণ কিভাবে করতে হয়?,how do you pronounce this word?
Translate Bangla to Sylheti: বেত,কনচি
Translate English to Bangla: that guy who was just here gave me this for you.,যে লোকটি একটু আগে এখানে ছিল সে আমায় এটা দিয়েছে আপনাকে দেওয়ার জন্য।
Translate Bangla to Sylheti: চিঠি,খত
Translate English to Bangla: i don't like coffee.,আমর কফি ভালো লাগে না।
Translate Bangla to Sylheti: কৃষি ক্ষেত,খেতকিরি
Translate Sylheti to Bangla: আহ্লাদের টুখরা গো,আহ্লাদের টুকরো গো
Translate Bangla to Sylheti: দূত,খবরিয়া
Translate English to Bangla: it's just wrong.,এটা ভুল।
Translate Bangla to Sylheti: অশ্রুতপূর্ব,আনছোনাই
Translate Sylheti to Bangla: বালা উ অইব তে আমার ফুরি গুতা ত বাক্কা সুন্দর আর ইতা খিতা খইতাম,"ভালোই হবে, আমার মেয়ে তো দেখতে সুন্দর আর ভালোও"
Translate Bangla to English আমি চা পছন্দ করি।,i like tea.
Translate English to Bangla: she can speak japanese.,সে জাপানি বলতে পারে।
Translate Bangla to English তোমারা ইংরাজি বলতে পার?,do you speak english?
Translate Bangla to Sylheti: গাভী,গাই
Translate Sylheti to Bangla: উললিয়া,বিড়াল
Translate English to Bangla: do i need to book a seat?,আমাকে কি আসন সংরক্ষণ করতে হবে?
Translate Sylheti to Bangla: ইউনিভার্সিটিতে ফড়ার চেষ্টাত আছি একডা ভালো রেজাল্ট আনতে হইবো,ইউনিভার্সিটিতে পড়াশোনার চেষ্টা করছি একটি ভালো রেজাল্ট আনতে হবে
Translate Bangla to Sylheti: হাওয়া আসে,হাওয়া ও আয়
Translate Bangla to Sylheti: ডাটা,আভু
Translate Bangla to English আপনার মতো সুন্দরি মহিলার একা খাওয়া উচিৎ নয়।,a beautiful woman like you shouldn't be eating alone.
Translate Bangla to Sylheti: স্ত্রীলোকের,ঝেলার
Translate Bangla to English আমরা বিবাহিত।,we're married.
Translate Bangla to Sylheti: শুধু আমরা দুইজন,খালি আমরা যে দুইজন
Translate Bangla to Sylheti: ক্ষণ,খেন
Translate English to Bangla: cut your nails.,আপনার নকগুলো কাটেন।
Translate English to Bangla: i'd like to withdraw some money.,আমি কিছু টাকা তুলতে চাই।
Translate Sylheti to Bangla: চাচ,বাশ বেতের চাটাই
Translate Sylheti to Bangla: মাইমল,জেলে
Translate Bangla to Sylheti: শেষ হলে,অইলো বাদে
Translate Bangla to Sylheti: নিকটে,গেচে
Translate English to Bangla: i'll go with you.,আমি আপনার সাথে যাব।
Translate English to Bangla: i've lost my passport.,আমি আমার পাসপোর্ট হারিয়ে ফেলেছি।
Translate Sylheti to Bangla: গাত,গর্ত
Translate Sylheti to Bangla: ছিরমিট,সিমেন্ট
Translate Bangla to English লন্ডন ইংল্যান্ডের রাজধানি।,london is the capital of england.
"Translate English to Bangla: you know i don't have to do that, don't you?","তুমি জানো আমাকে এটা করতে হবে না, তাই না?"
Translate English to Bangla: i didn't want you to read that.,আমি চাইনি তুমি ওটা পড়ো।
Translate Bangla to English আমার দাদা একজন নায়ক ছিলেন।,my grandfather was a hero.
Translate Bangla to Sylheti: হাওরের,আওরোর
Translate Bangla to Sylheti: অস্বাভাবিক,আংগাডাংগা
Translate English to Bangla: tom wants to speak with you.,টম তোর সাথে কথা বলতে চায়।
Translate Bangla to Sylheti: অরান্ধুনি,অরানরী
Translate Bangla to English আপনি কি নিচে আসবেন?,are you coming down?
Translate Bangla to English উনি ফল ছাড়া অন্য কিছু খান না।,he doesn't eat anything except fruit.
Translate Sylheti to Bangla: আমরার ইনো হুটখির তরকারি কত মজা লাগে,আমাদের এখানে শুটকির তরকারি কত মজার
Translate Sylheti to Bangla: খাতরা ধইলে,দোষ ধরলে
Translate English to Bangla: how embarrassing!,কি লজ্জার ব্যাপার।
Translate English to Bangla: i was physically ready.,আমি শারীরিকভাবে প্রস্তুত ছিলাম।
Translate Bangla to Sylheti: সূর্য,আপ্তাব
Translate Bangla to Sylheti: তোমার কণ্ঠের সুরে যখন মাতাল হই,তোমার মাতার সুরে যেলা মাতাল অই
Translate Sylheti to Bangla: চুপা,ক্রোধ
Translate Bangla to English আমি নিউ ইয়র্কে একটা হোটেলে রয়েছি।,i am staying at a hotel in new york.
Translate Sylheti to Bangla: হড়ি,শাশুড়ি
Translate English to Bangla: stop that woman.,ওই মহিলাটিকে থামান।
Translate Bangla to English আমি কয়েকদিনের জন্য শহর ছেড়ে যাচ্ছি।,i'm leaving town for a few days.
Translate Sylheti to Bangla: চউদদা,পরিচয়
Translate Bangla to English তুমি এখানে কি জন্য এসেছো?,what are you here for?
Translate Bangla to English আমি শুরু করবো।,i'll start.
Translate Bangla to Sylheti: চৌমুহনী,চউমনা
Translate Bangla to English আর কিছু?,anything else?
Translate Sylheti to Bangla: খেড়,বিচালী
Translate Bangla to Sylheti: জীবনের,জনমর
Translate English to Bangla: i'm not sure what time tom will be home.,টম কখন বাড়িতে আসবে তা আমি নিশ্চিত নই।
Translate Bangla to English আমি আজকে কেনাকাটা করতে যেতে চাই না।,i don't want to go shopping today.
Translate Bangla to English আমরা জিতে গেছে।,we won.
Translate Bangla to English নীচে দেখুন।,see below.
Translate Bangla to English সে কি সফল হবে নাকি ব্যর্থ হবে?,will he succeed or fail?
Translate English to Bangla: tom began screaming.,টম চেঁচানো আরম্ভ করলো।
Translate English to Bangla: i teach mathematics and physics.,আমি গণিত এবং পদার্থবিদ্যা পড়াই।
Translate English to Bangla: nothing is achieved without effort.,চেষ্টা ছাড়া কিছুই অর্জিত হয় না।
Translate Sylheti to Bangla: এইখানে এলাম তুরে চেহারা দেখি আশ্চর্য হইলাম,এখানে এলাম তোর মুখাবয়ব দেখে আশ্চর্য হলাম।
Translate English to Bangla: do you want to go?,আপনি কি যেতে চান?
"Translate English to Bangla: you're tired, aren't you?","আপনি ক্লান্ত, তাই না?"
Translate Bangla to Sylheti: অবিরামভাবে,একরোশ
Translate Bangla to Sylheti: বিপদে,আফতে
Translate Sylheti to Bangla: টাঙ্গি,কর্তন যন্ত্র
Translate English to Bangla: tom is learning programming.,টম প্রোগ্রামিং শিখছে।
Translate Bangla to Sylheti: মজলে,মছলে
Translate Bangla to English টম খুব লম্বা ছেলে।,tom is a very tall boy.
Translate English to Bangla: i don't know what country those people are from.,ঐ লোকগুলো কোন দেশের তা আমি জানি না।
Translate Sylheti to Bangla: ইতারে আমি কীতা খাবাইতাম,এদেরকে আমি কি খাওয়াবো
Translate Bangla to English আমি স্বপ্ন দেখছিলাম।,i was dreaming.
Translate Bangla to Sylheti: হায়,এসসা
Translate English to Bangla: i'm wet.,আমি ভিজে গেছি।
Translate Sylheti to Bangla: জাত বেজাত,অনেক রকম
Translate English to Bangla: that's my cat.,ওটা আমার বিড়াল।
Translate Sylheti to Bangla: খিচাল,চাল-চলন
Translate Bangla to Sylheti: জ্ঞান-বিজ্ঞানে এত আগানো থাকে,জ্ঞান-বিজ্ঞানে অত আগাইল থাকে
Translate Bangla to Sylheti: সঞ্চিত সম্পদাদি,থাইব থুইব
Translate Bangla to English তুমি কি মনে করো তুমি আমার চেয়ে ভালো?,do you think that you're better than me?
Translate Bangla to Sylheti: দূর থেকে শোনা যায় কত কত গান,দূর থাকি হুনা যায় কত কত গান
Translate Sylheti to Bangla: খাইট্যাল,দুষ্ট গরু
Translate Sylheti to Bangla: সফি সামির,সফি সামির
Translate Sylheti to Bangla: এই যাইবায় নি বা মাধবকুন্ডত?,এই যাবেন নাকি মাধবকুন্ডে
Translate English to Bangla: i'm screaming.,আমি চিৎকার করছি।
Translate Bangla to English আমি চাইছিলাম না টম আমাকে দেখুক।,i didn't want tom to see me.
Translate Bangla to English আমি টমকে কিছু জিজ্ঞাসা করতে চাই।,i want to ask tom something.
Translate Sylheti to Bangla: ডলু,এক ধরনের বাঁশ
Translate Bangla to English এটা আমার বোন।,this is my sister.
Translate Bangla to Sylheti: খানাপিনা,খানাউনি
Translate Sylheti to Bangla: থাবুখালি,কথা বন্ধ হয়ে যাওয়া
"Translate Bangla to Sylheti: ঠিক আছে, এসো","ঠিখ আছে,আইও"
Translate Sylheti to Bangla: তরপার,নষ্ট
Translate Sylheti to Bangla: নোয়াখালির ফুয়া সিলেটি ফুয়া রে পিটি লাইবো,নোয়াখালির ছেলে সিলেটি ছেলেকে পিটিয়ে ছাড়বে
Translate Bangla to Sylheti: আজকে,আইজকু
Translate English to Bangla: it's very hot inside.,ভেতরে খুব গরম।
Translate Sylheti to Bangla: মাশুর,প্রচার
Translate English to Bangla: i'm not at all interested in physics.,আমি পদার্থবিজ্ঞানে মোটেই আগ্রহী নই।
Translate English to Bangla: do you understand what i want to say?,আমি কী বলতে চাইছি আপনি বুঝতে পারছেন?
Translate Bangla to Sylheti: কারো,কেউরি
Translate Bangla to English টম ভাইরাসের চেয়েও নিকৃষ্ট।,tom is worse than a virus.
Translate Bangla to English আমি তৃষ্ণার্ত বলে পানি খাচ্ছি।,i'm drinking water because i'm thirsty.
Translate English to Bangla: tom comes here three or four times a month.,টম এখানে মাসে তিন-চার বার আসে।
Translate Bangla to English আমাকে ওখানে নিয়ে চলুন।,take me there.
Translate Sylheti to Bangla: চুইয়া,চুষে
Translate Bangla to English আমার তিনটে মেয়ে আছে।,i have three daughters.
Translate Bangla to Sylheti: হয়ে যাচ্ছে,অইযারগি
Translate Sylheti to Bangla: উর লাগানো,লাভ পাওয়া
Translate Sylheti to Bangla: আমারে মন কররায় নি?,আমাকে মনে করছো না?
Translate Bangla to Sylheti: যাওয়া আসা করে,আয়জায়
Translate Bangla to English শূন্যের ধারণা হিন্দু সংস্কৃতি হতে এসেছে।,the concept of zero comes from hindu culture.
Translate English to Bangla: he doesn't care much for baseball.,তিনি বেসবলকে খুব একটা পাত্তা দেন না।
Translate Bangla to Sylheti: মুরগীর ডাকাডাকি,খগানা খগানি
Translate Bangla to Sylheti: কচি,ডুগডুগা
Translate English to Bangla: when will that novel be published?,সেই উপন্যাস কবে প্রকাশিত হবে?
Translate Bangla to Sylheti: আড়ালের,আওড়োর
Translate Bangla to English আমি ওনার প্রেমে পড়ে গেলাম।,i fell in love with him.
Translate Bangla to English গরু দুধ দেয়।,cows supply milk.
Translate Sylheti to Bangla: উকতামি,বেয়াড়াপনা
Translate Bangla to English সকলেই যাওয়ার জন্য তৈরি।,everybody's ready to go.
Translate Sylheti to Bangla: জারা,সহ্য করা
Translate Bangla to Sylheti: যার কথার কোন মুল্য নেই,আবাপুুফুঙ্গা
Translate Bangla to English টিকিট কাউন্টারটা কোথায়?,where's the ticket counter?
Translate Sylheti to Bangla: সিলটি ভাষা হিকইন,সিলটি ভাষা শিখেন
Translate Bangla to Sylheti: আর এখানে এসে তাদের গলার জোর বেড়ে যায়,আর অনো আইয়া তানোর গলার জুর বারিয়া যায়
Translate Bangla to Sylheti: এইটা হল সিলেটের চা,ইটা অইল সিলটর চা
Translate Sylheti to Bangla: কংকাল,শরীর শুকিয়ে যাওয়া
Translate Bangla to English আপনি অবদান রাখছেন।,you're contributing.
Translate Bangla to English কোথায় যাচ্ছেন?,where're you going?
Translate Bangla to Sylheti: ঠাণ্ডা,টাউয়া
Translate English to Bangla: tom likes chocolate cake a lot.,টম চকলেট কেক খুব পছন্দ করে।
Translate English to Bangla: snow reflects ultraviolet light.,বরফ অতিবেগুনী রশ্মিকে প্রতিফলিত করে।
Translate English to Bangla: i was lost.,আমি হারিয়ে গেছিলাম।
Translate Bangla to English ও চেষ্টা করে।,he tries.
Translate Bangla to Sylheti: সন্ধান,তয়
Translate Bangla to Sylheti: অবস্থাপন্ন,তয়াংগর
Translate Sylheti to Bangla: আলুয়া তাওয়া,শিরনি ও রুটি
Translate Bangla to Sylheti: আশেপাশে,আয় পায়
Translate Bangla to Sylheti: উষ্ণতা,উম
Translate Bangla to English আমি কাজ করতেছি।,i am working.
Translate Bangla to Sylheti: অনিষ্ট,অনিশটি
Translate Bangla to English আমিও এটা বুঝতে পারিনি।,i didn't understand it either.
Translate Bangla to English আমি ৬:৩০-এ ফিরে আসবো।,i will return at 6:30.
"Translate Bangla to Sylheti: আশ্চর্য,অবাক",অবেদ
Translate Sylheti to Bangla: আমলি,সময়ের
Translate Sylheti to Bangla: হের লাগিও তায় ছিলোট বিয়্যা কইরা তাইনোর মনের দুক্কডা একটু কমাইতে চাইছোন,এর জন্যই তিনি সিলেট বিয়ে করে তার মনের দুঃখটা একটি কমাতে চেয়েছেন
Translate English to Bangla: can he speak french?,ও কি ফরাশি ভাষা বলতে পারে?
Translate English to Bangla: i'm hoping that won't happen.,আশা করি সেটা ঘটবে না।
Translate Bangla to English তিনি দোকানে কী কিনেছিলেন?,what did she buy at the shop?
Translate Bangla to Sylheti: কেদারা,কুরশী
Translate Sylheti to Bangla: খুইবো,নষ্ট হবে
Translate Bangla to Sylheti: ওই আরেকটা আছেনা তোমার মায় আমারে বালা পাইননা,ও আরেকটা আছেননা তুমার মায় আমারে বালা পাইননা
Translate English to Bangla: the club has more than fifty members.,ক্লাবটির সদস্য পঞ্চাশেরও বেশি।
Translate English to Bangla: tom is wearing headphones.,টম হেডফোন পড়ে আছে।
Translate Sylheti to Bangla: তুমি অইলা গিয়া আমার এখমাত্র ফুরির এখমাত্র জামাই,তুমি হলে আমার একমাত্র মেয়ের একমাত্র জামাই
Translate Sylheti to Bangla: উযযইত,তর্ক
Translate Bangla to Sylheti: গিরা,গুটলি
Translate Bangla to English আমি তোমাদের নাম জানি।,i know your name.
Translate Bangla to Sylheti: ওজর,উজর
Translate English to Bangla: she has a picture.,তার কাছে একটি ছবি আছে।
Translate English to Bangla: i couldn't stop myself.,আমি নিজেকে থামতে পারলাম না।
Translate English to Bangla: i'll talk.,আমি কথা বলব।
Translate Bangla to Sylheti: বিরক্ত,কশা
Translate Bangla to Sylheti: অহংকার,গুরুরি
Translate Sylheti to Bangla: খালি আনোয়ার চৌধুরী আর টুমি মিয়াই নাই,খালি আনোয়ার চৌধুরী আর টুমি মিয়ায় না
Translate Bangla to English চুপ কর!,keep quiet!
