sylheti,bangla
উরানো,কাপড় জরিয়ে দেওয়া
উরাবেরা,সম্মুখে ঘুরাঘুরি করা
উরালি,বাতাস বাহিত আবর্জনা
উরি,শিম বা ধান মাপার বস্তু বিশেষ
উরি দেওয়া,সমস্বরে চিৎকার করা
উরিয়া,বিদেশী
উরুরুরু,উলুধ্বনি
উরুছ,উরস
উল্টা,উল্টো
উল্টা্বায়,বিপরীত দিকে
উলপরানি,সংকীর্ণমনা
উলমাইল,গন্ডগোল
উলমেল,ভিড়
উললিয়া,বিড়াল
উলশ,ছাড়পোকা
উলা,বিড়াল
উলাটুলা,পুং বিড়াল
উলি,উইপোকা
উলু,গাভীর স্তন
উলুইন,ওলান
উলুতুবরখারি,কিম্ভূতকিমাকার
উলুবুরা,সর্প বিশেষ
উলুমবুশাই,যে অধিক ময়লা কাপর পড়ে
উলুসন,ছন বিশেষ
উলুসনা,এলোমেলো
উলেবালে,সমস্ত
উলোনা থুলো,হঠাৎ
উশ,হুঁশ
উশকা,যুবতী
উশকিটান,হেঁচকা টান
উশটাইয়া,পদাঘাত করে
উশমা,কাঁকড়া
উশুম বুশুম লাগা,অস্বস্তি লাগা
উষ্ঠা,হোঁচট
উসলকেতু,ছলনাকারী
উসলত,ছুতা
উসলা,বাড়াবাড়ি
উসাট,দুধ দোহনের সময় লাথি মারে
উসানো,বেছে নেয়া
উসাপিস,অস্বস্তি
উসাল,বমি
উসাস,সাধ
উসিত,উচ্ছিষ্ট
উসিল,উপায়
উসিয়াল,অন্যের সাহায্য
উয়া,নিশ্বাস প্রশ্বাস
উয়াক্কারীমাত,মিথ্যে কথা
উয়াজ,ওয়াজ
উয়ানো,ধানের খোসা ছাড়ানো
উয়া পুটা,শ্বাসরোধ
উয়া ফালানি,শ্বাসফেলা
উয়াম্মা,আশা
উয়ার,ওশার
উয়ার পার,এফোঁড় ওফোঁড়
উয়াশ,আরাম
উয়াশন,উঠানো
উয়াশা,শখ
উড়কা,হুরকা
উড়া,ক্ষণস্থায়ী ঘর
উড়াউড়,গুজব
উড়াপারা,পা দিয়ে মাড়ানো
উংকা,এখন
উংঙ্গানি,ঝিমানি
উংগাডুংগা,জারজ
এইন,ইনি
এইলারে,এইটাকে
এইসতে,এখান থেকে
এউতা,ইহা
এউয়া,স্বামী পরিত্যাক্তা
এউলা,আমলকী
এউলা এউলি,কোলাকুলি
এও,এতেও
এওত,হে্মন্তকাল
এওতিয়া কদু,হেমন্তের লাউ
এউতে বাইরায়,হেমন্তে বর্ষায়
একআদোল,এক অর্ধবেলা
একখানো,একত্রে
একগালাত,একপাশে
একগু,একটা
একগুইয়া,একগুয়ে
একঘরো,এক ঘরে
একজরাত,সামান্যতে
একটুমা,এক টুকরো
একতিল,একটু সময়
একতিবল,এক মুহূর্ত
একতিবিল,এক মুহূর্ত
একতা,একটা কথা
একদ,এক
একনাপড়ে হিম,শরীরে আলস্যভাব
একপাইয়া,একপেয়ে
একপা্ল,একদল
একপিরা,এক পীরের মুরিদ
একপুরা,ওজনে পাঁচ সের
একফরু,একস্তর
একবারতা,একবার
একবায়দি,একদিকে
একবারোলে,এক লগুড় আঘাতে
একবোলা,যে যুক্তির ধার ধারেনা
একমাদ্রি,এক মায়ের গর্ভে
একরান শিরা,স্বার্থপর
একরে,একেবারে
একরোখখা,একগুুঁয়ে
একরোশ,অবিরামভাবে
একযরা,সামা্ন্য
একলগে,একসাথে
একলা,একা
একলাকান,একরকম
একলাকুলি,একাকী
একসেদি,এক কোপে কাটা
একসে্র,রাগের মাথায় মারধর
একহমান,এক সমান
একহরি,একটা
একহালি,চা্রটি
একাংগী,একা
একানিদা,অভাবগ্রস্ত
এখতা,লোভনীয় জিনিস
এখাএখি,হেয়জ্ঞান
এগমাজি,অবহেলা
এগনা,আপন
এগানা,আপন
এগু,একটা
এগুরবায়,এক জনের দিকে
এগুরা,এক প্রকার মাছ
এওখান,এটাও
এচকা,ঝাঁকুনি
এচকি,ঝাঁকুনি
এচনা,ঢালু জায়গা
এচপ্যাচে,খুঁটিনাটি
এচি,হাঁচি
এছকা,ঝাপটা
এছকামারি,হেঁচকা টান দিয়ে
এছির,এতিম
এজমত,পরাজিত
এজান,ইহলোক
এট অইল,নিচু হলো
এটা টেংরা,ছোটবড়
এটু বেটু,ছোট পাত্র
এতইত,ইহাতে
এততাকি,ইহা থেকে
এতনা,এতটুকু
এতুত,এতে
এতুতরাজ,এতে সম্মত
এতিম এছির,মাতৃপিতৃহীন
এতিলকু,এখন
এতুরতা,এটা্র টা
এথা,এখান
এনকার,তাচ্ছিল্য
এনা,গুঁতা
এনাখুচা,আঘাত দেওয়া কথা
এনেরেদি,উনাকে
এনো,এখানে
এন্ডা,আন্ডা
এনইর,এক প্রকার টক ফল
এপিরা,এবার
এবো,এখনো
এবাদুড়ির,এ বাঁধার
এবায়,এদিকে
এবলা,এখন
এবলা্কু,এখন
এবাদারতোর,এ বিতর্কের
এবারকু,এবারকার
এবায়দি,এদিকে
এবোনি,এখনও কি
এবোভালা,এখনও ভালো
এমনবালা,এমন সময়
এমনে,বিনামূল্যে
এমনে হেমনে,এদিক সেদিক
এমনু,অনর্থক
এমবা,এমনে
এমরা,আমড়া
এমলা,এভাবে
এমলাখান,এইভাবে
এমোন সঞ্চে,সাবধানতায় মারে
এমোলা বড়ায়,এভাবে বটিকা করে
এযমত খাওয়া,দুুর্বল হওয়া
এযা,ভেজিয়ে
এযাইর,এজহার
এযাইয়া,ভেজিয়ে রাখা
এরই,একটুকু
এরএরা মেরমেরা,খুব নরম
এরা,আলসে
এরাইল,একপ্রকার ধারালো ঘাস
এরাচেরা,একপ্রকার
এরানি,হাসাহাসি
এরানো,হাসাহাসি
এরারকু,এবার
এরালি,পেটুক
এরি,স্বামী ত্যাগিনী
এরে,এই যে
এরে হুনি,ইহা শুনে
এরেলা,গিরগিটি
এরু,কম
এরুকিতানে,এইজন্য
এরুতা,কম
এরুনি লখাই,একমাত্র ছেলে
এরুলাগি,এজন্য
এরূরতা,এরকম
এলগেলাম,অবহে্লা
এলকু,এখন
এলনো,একপ্রকার মাছ
এললত,দোষ
এলা,অবহেলা
এলাইনচা,শাক
এলাজ,চিকিৎসা
এলান,ঘোষণা
এশখেরা,অবহেলা
এশবা,কিছুই না
এশনা,পার্শ্ব
এশির,নাবালক
এসতার,ইফতার
এসনেস,এদিক সেদিক
এসসা,হায়
এহানত,ঘৃণা
এড়া,নিয়ন্ত্রণহীন
এড়া,তালাকপ্রাপ্ত
এড়াও ছোলাও,হাসাহাসি
এড়ি,পরিধেয় বস্ত্রবিশেষ
এংকার,উপহাস
এংগল,কুকুর
এংগল মেকুর,নেহায়েত নগন্য
এংচারু,বদ মেজাজী
ওউনু,ঐ যে
ওখনাইন,এই গুলি
ওতা,উহা
ওতা ওতা,ঐসব
ওধন,ওজন
ওডুর,অল্প
ওতিল,এই তিলে
ওনে,চেয়ে
ওবা,ওহে
ওবা হুনি যাও,শুনে যান
ওমান্তে,এখন বা তখন থেকে
ওরে,বমি করে
ওরেবো,এই যে
ওলাউ,এই রকম
ওলাওঠা,বসন্ত
ওশকাল,অসময়ে
ওসয়ান,চা্লাক
ওড়া,পরিধান করা
ওড়িলউক্যা,গায়ে দিন
ঔত,এখানে
ঔততো,এই যে
ঔদদা,অহংকারী
ঔনু,এই যে
ঔলাকান,এইভাবে
কইও,বলো
কইছরত,চেষ্টা
কই ছুরত,কোনমতে
কইন,বলেন
কইন্না,কনে
কইমু,বলবো
কইলো,বললো
কইলকাত্তা,কলকাতা
কইলজা,কলিজা
কইলা,বললেন
কইলাউকা,বলে ফেলুন
কইলাও,বল
কও,বল
কওচাইন,বল দেখি
কওরি,মেয়ে
কওলা,বিক্রয় দলিল
কওয়াকয়ি,বলাবলি
কওয়ায় বুলায়ো,কথা বার্তায়
কক,কয়েক
ককটা,কয়েকটা
ককা,কাঠবিড়ালি
কগা,শ্বাসনালী
কগুল,ঝগড়া
কচকচে,অব্যক্ত বেদনা
কচক মচল,হাতাহাতি
কচবি,বেশ্যা
কচরা,দড়ি
কচলাকচলি,ঢলাঢলি
কচাইন,বল দেখি
কচারত,লোকসান
কচুটা,গামছা
কছা,কম
কছুর,দোষ
কটকটা,গাঢ়
কটটা,বাটি
কটমট,দুুুরবোদ্ধ কথাবলা
কটওয়ালে,কতোয়ালে
কটরা,পিতলের বাটি
কটা,কাঠবিড়ালি
কটাই মযর,নিচুুস্তরের লোক
কটাইয়া,শুধু অগ্রভাগ ধরে
কঠা,চোয়াল
কড করা,ব্যবসা করা
কডর মডর,খটখট
কাকই,চিরনি
কত আমল,অনেকদিন
কতলা,কতগুলো
কত বইল,কত সময়
কতিছাল,গন্ডগোল
কতোকিনি,অনেকখানি
কতোমন্তে,কতভাবে
কথা কানাইন,কথাগুলো
কথাকিনি,কথাগুলো
কথাধুনে,কথা চিন্তা করে
কথার অদ করা,দোষ ত্রুটি বের করা
কদর,সম্মান
কদরানি,ইচ্ছা থাকা সত্ত্বেও অনিচ্ছা প্রকাশ
কদু,লাউ
কদুর করা,কচি লাউ
কনকই,এক প্রকার শক্ত বাঁশ
কনকনা,নিরেট
কনকনি,গোঁ গোঁ শব্দ
কংকাল,শরীর শুকিয়ে যাওয়া
কনজুস,কৃপণ
কনচি,বেত
কনযিস,কৃপণ
কনডল,ঝগড়া
কনডলি,ঝগড়াটে
কননা বুয়াই,ভাবী
কনা,ছোট ছেলে
কনামনা,অতিছোট
কনামনাই,ছোট
কনি,ছোট মেয়ে
কপ,শব্দ বিশেষ
কপকপ,আলোচনা
কপরানো,লাঠির বা বাশের আঁখি ফালানো
কপাকপ,অনায়াসে
কপালর চাড়,কপালের হাড়
কপালি,ধনী
কব,কাবাব
কবলীয়ে,দুগ্ধবতী গাভীতে
কবোকবো করা,তর্ক করা
কম খোরাকি,সল্পাহারী
কমছে কম,কমপক্ষে
কমবল,পাছা
কমবল উযাগর,সর্বনাশ
কমবলে কমবলে,সাথে সাথে
কমযরফ,ছোটলোক
কমযে কম,কমপক্ষে
কমযিগর,দুর্বল
কমযিগরী,দুর্বল
কমযিলকা,কেঁচো
কমযিশ,কৃপণ
কমল,কম্বল
কয়দানা,মুরব্বী কয়েক
কপাল ঠারো,পরীক্ষা করো
কয়প,অভ্যাস
কয়ফল,পেঁপে
কয়ফি,নেশাখোর
কয়রা,অপরিপক্ব
কয়া,ফড়িং
কয়া,বলা
কয়া জায়না,বলা যায়না
কয়াপি,নেশাখো্র
কয়ার,তিতির পাখি
কয়ারও হদ,বলারও সীমা
কযা,ভুল
কযাবিললা,কদাচিৎ
কর,পেছন
করকচা,অতিবৃদ্ধ
করকাচা,কাঁচা পাকা
করচ,করমচা
করচা,কাঠালের পরিপক্ব কোষ
করচিয়া,কাঠালের পরিপক্ব কোষ
করট,পার্শ্ব
করদি,পেছন দিকে
করবরে,পেছন দিকে
করপা,কোষ
করমস্তাইল,গন্ডগোল
করমুখা,পিছন দিকে
করলামা,পিছনে যাওয়া
আগুয়ায়,ইতস্তত করে
করা,কোষ
করাইছ,করিও
করাইছইন,করিয়েছেন
করাইছে,করিয়েছে
করাইত,ঘৃণা
করাইল,কাঁকড়
করা করা,কঠিন সুরে বলা
করারি,ছোট নুড়ি পাথর
করিতরা,করছেন
করি বানা,অজুহাত
করিবুল হালাক,মৃতপ্রায়
করিল,বাঁশের অংকুর বা চারা
করুনা,একপ্রকার বড় লেবু
করুযা,নষ্ট
করুয়া,কুড়াল পাখি
করুল,কচিবাশ
করে,পিছনে
করে ছুটলা,পেছনে ছুটলেন
করেদি,পিছন দিকে
করোট,পাশ ফিরে
করোট ফিরাই,পাশ ফিরে
করোতরা,করছেন
কলং,কলঙ্ক
কলকলে,আস্তে আস্তে
কলচুংগী,হাতপাখার চুংগী
কলজিবরা,আলজহবা
কলতা,কুষ্ঠরোগ
কলতায় মারা,পক্ষাঘাতে মরা
কলতার বাতাশ,পক্ষাঘাত রোগ
কলনদার,সূফী সাধন পদ্ধতি
কল্পে জল্পে,সন্তর্পণে
কলম,শাক বিশেষ
কলমশাখ,কলমিশাক
কলম তরাশ,চাক
কলাযাক,উপরা উপরি
কলারডেক,মোচা
কলিয়া,বড় টুকরা
কলুম,গাছের ডাল কেটে অন্যত্র রোপন
কলে,সুযোগে
কলেকলে,কনে রূপে
কশবি,বেশ্যা
কশা,বিরক্ত
কশানো,ভুল করা
কশোন,কালি
কশোর,কাশবনের তৈরি
কসা,টানাটানি
কসা্রত,লোকসান
কসুটা,মালকোঁচা
কসুয়া,সবুজ
কড়ুয়া,অধিক পরিমাণে
কড়ুুর,কড়ি
কাংটা,কৃপণ
কাংলা মাছ,শোল মাছ
কাআলিশ,আঁচিলের মত ক্ষুদ্র কীট
কাই,নরম
কাইক,কদম
কাইচ,রতি
কাইচামিচ,কষ্ট অনুভব
কাইতা,নীচুজাত
কাইতা্ম,কাটতাম
কাইন,কানুন
কাইন না কাড়ে,কথা বলেনা
কাইম,স্থায়ী
কাইমা রঙ,কাইম পাখির রঙ
কাইমে খাওয়া,সকলে মিলে খাওয়া
কাইরত,শক্তি
কাইরগোলা,গো্লা
কাইল্যারা,মাছ বিশেষ
কাইললা,একপ্র্রকার গাছ
কাইসমা,পেটুক
কাউউনি,কাক(স্ত্রী)
কাউকরা,গুল্ম জাতীয় উদ্ভিদ
কাউকরা হাগা,কৃপণ
কাউচা,কুলটা
কাউছাল,তর্ক বিতর্ক
কাউনি,কাশি
কাউমলা,কামলা
কাউমাউ,অস্পষ্ট রব
কাউয়া,কাক
কাউয়া কেচ কেচি,কলহ
কাউয়া কেচলামি,কলহ
কাউয়া ঘুম,অগভীর নিদ্রা
কাউয়া জাল,বেলে জাল
কাউয়ার ডাক,খুব ভোরবেলা
কাউয়ানি,কাশি
কাউয়া লুলি,মাকাল ফল
কাউয়া শিয়ান,স্বার্থপর
কাউর,ঈর্ষা
কাউরি,দেওয়াল ও ছাদের মিলনস্থল
কাউললা,বধির
কাউস,ক্রোধ
কাউসালি,বিবাদ
কাওন,টাকা
কাওয়া,কাশা
কাওরা,কোনাকুনি
কাওলাকাওলি,জড়াজড়ি
কাকরাইন,খলুই
কাকরোল,সবজি
কাকাইল,কাঁখ
কাকাল,কোমর
কাকালি,কোমর
কাকিয়া,মাছ বিশেষ
কাকুরা,গুল্ম জাতীয় উদ্ভিদ
কাগ,চুংগা
কাগযি,কাঠ পেন্সিল
কাগা,কাক
কাচখিরা,অর্ধকাঁচা
কাচতলা,পায়খানা
কাচতা,হা-ডু-ডু খেলার কোট
কাচতি,কাঁচা
কাচমউয়া,কাঁচা মিঠা
কাচরা,ময়লা
কাচলি,সদ্যজাত শিশু
কাচাতেল,সরিষার তেল
কাচারাড়ি,সদ্য বিধবা
কাচা হুরুরতা,সদ্যজাত শিশু
কাচি,কেঁচি
কাচুয়া,কচি
কাচো,পেটুুক
কাছলি,বড় পাত্র
কাছাত,কাছে
কাছার,কাছে্র
কাছিম,কচ্ছপ
কাঞ্চাত,কাছে
কাটটাগুলাম,একেবারে নিকৃষ্ট
কাটটাাচুল,কনেের সমান কাটা চুল
কাটনি,অসাক্ষাতে কারো বিরুদ্ধে অভিযোগ
কাটাইল,ছুরি
কাটাওলা,একপ্রকা্র ঘাস
কাটাকামানি,দাঁড়িপাল্টা
কাটালেবু,কাগজি লেবু
কাটাল পাখির বুলি,অনিশ্চিত
কাটুয়া,কৃপণ
কাটুয়ামি,কৃপণতা
কাটে,দংশন করে
কাঠল,কাঁঠাল
কাঠিয়া,হাল চাষের উপকরন
কাডইল,ছোট দা
কাডল,কাঁঠাল
কাডুয়া,মাছ ধরার উপকরণ
কাতরা,সামান্য
কাতার,সারি
কাতি মাস,কার্তিক মাস
কাতিয়া,টিনের কৌটা
কাতে পাওয়া,সুবিধায় পাওয়া
কাতুর কুতুর,কাতুকুতু
কাদিমি,স্থায়ী
কাদুল,বাঁশ বা কাঠের দন্ড
কানকাইয়া,খুব আস্তে আস্তে
কানগরা,কানের নিচের অংশ
কানচা,কিনারা
কানচি,কাঁচি
কানজি,বাসি
কানটামি,তর্ক
কানডা,একগুয়ে
কানতাই,পানের বড় গুচ্ছ
কানতাইয়া,অন্যদিকে চলা
কানতানো,পাশ কাটা
কান্দা,কাঁদা
কান্দাতনে,কাছ থেকে
কান্দি,আঁটি
কান্দিতরা,কাঁদছেন
কান্দোর,কাঁধের
কানা,অন্ধ
কানাকি,হিংসুক
কানা পুকরা,খুঁত
কানাফি,পোকায় খাওয়া
কানি,চুল বাধার ফিতা
কানি আঙ্গুল,কনিষ্ঠ আঙ্গুল
কানি আরে,আড় চোখে
কানি কাছার,নিকটের
কানি চউখে,আড় চোখে
কানুরা,নিষ্কর্মা
কানো,কোথায়
কানো যাইরায়,কোথায় যাচ্ছ
কাবার,শেষ
কামড়ি,আমাশা
কামাই,রোজগার
কামিল,জ্ঞানী
কাযল,প্রদীপের কালি
কাযমায,অনুনয় বিনয়
কাযমিনতি,কাকুতিমিনতি
কাযলাম,খিজালত
কাযিমরা,আধামরা
কাযিয়া কেরেংকাল,কলহ
কাযিয়া মাযিয়া,কলহ
কাযে বাগে,প্রয়োজনে
কারবার,ব্যবসা
কারকোল,সবজি
কারি,ক্রিয়া
কারী করেনা,কার্যকরি হয়না
কালাম,বাক্য
কালাা মেগডর,গাড় কালো রঙের
কাহন,টাকা
কাড়,মাচান
কাড়িবা,কেঁড়ে নিবে
কাড়িবা রাও,কথা বলবেন
কাড়ে,বলে
কাড়ো,প্রচার করো
কিঅনে,কি হতে
কিওর,কিসের
কিকলে,কি কৌশলে
কিগু,কে
কিগুুরে,কাকে
কিছিম,রকম
কিতা,কি
কিবাকাম অইল,কী কান্ড ঘটল
কিমাইরত,কি তত্ত্ব
কিয়ান্তনে,কোথা হতে
কিয়ানো,কোথায়
কিয়ারী,ভুুমি খন্ড
কিরকালী,চিৎকার
কিরপায়,কৃপায়
কিরমি,কৃমি
কিলা,কিরূপে
কিহালে,কিরূপে
কিড়া,পোকা
কুওরি,কোলের
কুকানি,ঘোঙ্গানি
কুক্কু,কুকুর
কুচা,মাছ মারার কুঁচ
কুচি,হাঁস মোরগের ঘর
কুজা,শিখর
কুট,শাড়ির আঁচল
কুট-কুটাইয়া,সামা্ন্য শব্দ করে
কুটা,লম্বা বাঁশ
কুটি,ছোট
কুটিকুটি,টুকরো টুকরো
কুটিমুটি,ছোটখাটো
কুটিয়া,চূর্ণ করে
কুতকুতাইয়া,কুতকুত শব্দ করে
কুত্তা,কুকুুর
কুত্তা লাকান,কুকুরের মত
কুদাইয়া,রেগেমেগে
কুদা্ম,ধমক
কুদাম লয়,ধমক দেয়
কুদিয়া,রেগেমেগে
কুন,গৃহকোণ
কুনাকুনি,আড়াআড়ি
কুনাচি,তির্যক
কুন্তা,কোন কিছু
কুন্তাউ,কোনো কিছুই
কুন্তাত,কোন কিছুতে
কুন্তাবুদ,কোনকিছুর খবর বা টের
কুন্তায় নু কুন্তা,কিছুতেই কিছু
কুন্দাবারা,ধান ভানা
কুনিবেং,ঘরের ব্যাঙ
কুনুগু,কোনো জন
কুনু এমড়ায়,কোন কিছুতে
কুনুকলেনি,কোনভাবে কি
কুনুছুরত,কোনমতে
কুনুটলকে,কোন প্রকারে
কুনুপুরে,কোনো অংশে
কুনুমন্তে,কোনমতে
কুনুমুনি,কোনো পুরুষ
কুনে,কে
কুপিয়া,পুতে
কুবাই,কোথা
কুবাইতনে,কোথা হতে
কুবাইতো,কোথা হতে
কুমইর,কুমির
কুয়াই,কোথায়
কুয়াইতো,কোথা হতে
কুয়াইয়ো,কোথায়
কুয়িলার,কুকিলের
কুরছি,ঝিমিয়ে পড়া
কুরতা,জামা
কুরশী,কেদারা
কুরিয়া,অলস
কুরী,রাজকুমারী
কুরোন্তইল,কোলাহল
কুলা,কোলা
কু্লাইল,কোলাহল
কুলি,কোকিল
কুশ,কোষা
কুশাম,বদনাম
কুশিশ,চেষ্টা
কেউকুন্তা,কেউ কিছু
কেউতনে,কেউ হতে
কেউর,কারো
কেউরি,কারো
কেউরিরে,কাউকেও
কেওলা,ফলক
কেওড়,দরজা
কেওয়ারি বেওয়ারি,অসংখ্য
কেওয়াড়,দরজা
কেচলি,সদ্যজাত শিশুু
কেছুয়া,সন্তান
কেতরানি,আর্তনাদ করা
কেমোলা,কীরূপে
কেরাল,করলা
কেরে,কে
কেরেংকাল,বিবাদ
কইতর,কবুতর
কোরাল,কোলাহল
খইচুরা,কালো পুতি জাম
খইদা,অপব্যয়ী
খইবার,খুলবার
খইয়া,খলিসা মাছ
খইয়াছুলা,গালমন্দ করা
খইরকা পাট,শক্ত আঁশ যুক্ত পাট
খইরো খইরো,প্রতি প্রহরে
খইল,কানে্র ময়লা
খউরা,ঘরোয়া
খকরানি,নাক ডাকা
খগানা খগানি,মুরগীর ডাকাডাকি
খগা্নি,মুরগীর ডাকাডাকি
খচ্চরি,চুলকানি
খচা,খুটা
খচিতে,আছরাতে
খছম,স্বামী
খছা,দণ্ড
খদিও,খনর
খনদ,চাষাবাদ
খপরা,ধমক
খফ,ভয়
খবরউলি,দূত
খবরি,দূত
খবরিয়া,দূত
খবিছ,খবিশ
খমতা,ক্ষমতা
খয়াই,খুলে
খয়াইদিলা,খুলে দিলেন
খরখরা,অমসৃণ
খর দাউত্তা ছিলা,চরম চরিত্রহীনা
খলই,বাঁঁশের তৈরি মাছ রাখার পাত্র
খলকা,টুকরো
খলল,নষ্ট
খলাইন,দাঁবি করা
খলায়,ভান করে
খলিল চিতা,সুচিত্তের অধিকারি
খশি,খাসী
খসি গেছে,খুলে গেছে
খত,চিঠি
খাই,গর্ত
খাই খিলাইতে,খানাপিনাতে
খাইচ্চর,খচ্চর
খাইছ,খেয়ে নিও
খাইছইন,খেয়েছেন
খাইছত,আচরণ
খাইছন,খেয়েছেন
খাইছননি,খেয়েছেন নাকি
খাইছর,নোংরা লোক
খাইছি,খেয়েছি
খাইট,অভ্যাস
খাইট্যাল,দুষ্ট গরু
খাইতরা,খাচ্ছেন
খাইতানানি,খাবেন নাকি
খাইতা্নি,খাবেন নাকি
খাইতায়নি,খাবে নাকি
খায়তায়নায়নি,খাবে না নাকি
খাইতেনি,খাবে নাকি
খাইন,খান
খাইবা,খাবে
খাইবায়,খাবে
খাইবায়নে,খাবে
খাই যাওয়া,ক্ষয়ে যাওয়া
খাইয়ার,খাচ্ছি
খাইরা,খাচ্ছেন
খাইরায়নি,খাচ্ছো নাকি
খাইল,কাঠের তৈরি শস্য পেষানোর যন্ত্র
খাইলাইছে,খেয়ে ফেলেছে
খাইলাইন,খেয়ে ফে্লুন
খাইলাইমু,খেয়ে ফেলব
খাইলাও,খেয়ে নাও
খাইলানা,খান নি
খাইলিমু,খেয়ে ফেলব
খাইশ,খায়েশ
খাউক,খাক
খাউকা,খান
খাউজলি,চুলকানি
খাউজানি,চুলকানি
খাউট্টা,স্ত্রীর সাথে বিবাদকারী
খাউনা,খানাপি্না
খাউরা,খাদক
খাউলা,খামচি
খাউল্যা,চামড়ার ব্যবসায়ী
খাউড়,জলজ উদ্ভিদ
খাউড়া,পায়ের অলংকার
খাউজায়,চুলকায়
খাওন  জিয়ন,খাওয়া- বাঁচা
খাওরি,ব্যঙ্গ
খাওরি খাওয়া,ব্যঙ্গ করা
খাকরা খাকড়ি,বিবা্দ
খাগড়া,ঘাস জাতীয় তৃণ
খাচলত,আচরণ
খাছতা,ক্ষতি
খাজলি,চুলকানি
খাজা,পদবি
খাজুরি,খেজুরের ন্যায় মিষ্টি খাদ্য
খাজুল,নিরাশ
খাটা,খাট্টা
খাটাউরি,খাটায় যে
খাট্টাশ,খাটাশ
খাটি ধুতি,ছোট ধুতি
খাটুলি,খাটে যে
খাটে  মুগইরে,ক্রুদ্ধভাবে
খাত,বিষয়ে
খাতরা,দোষ
খাতরা ধইলে,দোষ ধরলে
খাতাগিল,ভুুলচুক
খাতির,সৌজন্য
খাতিরজমা,আশ্বস্ত
খাদরা,অমসৃণ
খাদা,গামলা
খাদারি,মুখাপেক্ষি
খাদিম,সেবক
খাদিম করি,যত্ন করি
খাদিম তুয়াজ,সেবাশুশ্রুষা
খাদিমদার,সেবক
খাদিমা তরফর,সেবাদাসীর গর্ভজাত
খানকা,পীরের আস্তানা
খানককা,অযথা
খানকি,দুশ্চরিত্রা নারী
খান্ত,শেষ
খানদান,ভালো বংশ
খানাউনি,খানাপিনা
খানি,খাদ্য
খানি খাইতানি,ভাত খাবেন নাকি
খানিবনি,ভোজন
খানি বেগর,খানা ব্যতীত
খানে,ঘরজামাই
খানেওয়ালা,খায় যে
খানে দামান,ঘরজামাই
খানেবাড়ি,দাসদাসীর জন্য তৈরি বাড়ি
খাপ,ছাদের কাঠামো
খাপ ধরা,ওত পেতে থাকা
খাপধরি,ওত পেতে
খাপে খাপে,যথা স্থানে
খা'ব,স্বপ্ন
খাবলা,খামচি
খাবাইলা,খাওয়ালেন
খাবাও,খাওয়াও
খাবাউক,খাওয়াক
খাবানি,খাওয়ানো
খাম,বিনষ্ট
খাম খাতরা,দোষত্রুটি
খাম খাম,খাই খাই স্বভাব
খামটা,খামচি
খাম্বা,স্তম্ভ
খাম্বারে,থুনিকে
খামিরা,সুগন্ধী তামাক
খামুছত,অবাক
খামোখা,খামাখা
খামোখাা গুছা,অযথা রাগারাগি
খাবরুয়া,একগুঁয়ে
খারা,বিপদ
খারিচতা,নোংরা
খারিজ,বাতিল
খারিজা,পৃথক
খারুমারা,রাজি না হওয়া
খাল,চামড়া
খালবাকল,চামড়া
খালাছ,শেষ
খালান,চামড়া ছিলানো
খালাছ,সমাপ্ত
খালায়,খেলে
খালি,শূণ্য
খালি খালি,শুধু শুধু
খালিছ,একনিষ্ঠভাবে
খালিবো,খেয়ে ফেলবে
খালুয়া,চামড়া ব্যবসায়ী
খাস তরফের পুয়া,আসল স্ত্রীর গর্ভজাত ছেলে
খাড়,হাতের অলংকার
খাড়া,দণ্ডায়মান
খাড়ি,টুুকরো
খাড়ি খাড়ি,টুকরো টুকরো
খিকরাইল,এলোমেলো
খিচকারা,খুঁত বের করার প্রবৃত্তি
খিচা,পলিথিনের ব্যাগ
খিচাল,চাল-চলন
খিচালত,বিদ্রূপ
খিজালত,বিদ্রূপ
খিত্তা,জমির পরিমাণ
খিরসা,দুধের ক্ষীর
খিরাও,দুগ্ধ দোহন কর
খিরান,দুগ্ধ দোহন করা
খিরানি,দুগ্ধ দোহন করা
খিরায়,দুগ্ধ দোহন করে
খিলকা,পোশাক
খিলা,অকৃষি জমি
খিলানেওয়ালা,খাওয়ায় যে
খিলাপ,বাদ
খিলাল,দাঁত খিলানোর শলা
খিলায়,খাওয়ায়
খিয়ানত,আত্মসাৎ
খিয়াল,খেয়াল
খিয়ালি,রসিক
খুইদ,খুদ
খুইদ্যা,খুঁড়ে
খুইবো,নষ্ট হবে
খুইশ্যে,খুশিতে
খুচ,কুঞ্চিত কিঞ্চিত ভাঁজ
খুচখাচ,ভাঁজ
খুচা,খোঁচা
খুজিনি,যে মহিলা খুঁজে
খুটা,খোটা
খুটাকিনি,খোটা
খুটা দেওরি,খোটা দেয় এমন মহিলা
খুটিয়া,অলংকার
খুতি,কোমরের বেঁধে রাখার টারসালি
খুদা,খনন করা
খুন্দা,গর্ত
খুনটানি,খুটানো
খুনি ধাউত,ঋতুস্রাব
খুনিয়া,খুনি
খুপলাশি,খোপাযুক্ত মোরগ
খুপা,খোপা
খুপেখাপে,চিপা চাপায়
খুবছুরত,অতি সুন্দর
খুবাই গেছে,খুলে গেছে
খুবি,সৌন্দর্য
খুবুলি,ভালো কথা
খুমটানি,খুটানো
খুমখুমা,হাৃষ্টপুষ্ট
খুমারি,অহংকার
খুয়া,কুয়াশা
খুয়াই,খুলে
